,Accuracy,ChoseViolation,Item,Permutation,ReactionTime,Segment,Subject,TestedOn,TrainedOn,TrialNumber,Violates,ViolationPosition
34660,0.95,1,394,0,3280,n,A2T2EFKEXL11M9,*NF,Devoicing,94,Place,1
34661,0.95,1,289,0,26524,d,A2T2EFKEXL11M9,*DF,Devoicing,95,Voicing,0
34662,0.95,1,352,0,1641,n,A2T2EFKEXL11M9,*NF,Devoicing,96,Place,0
34664,0.95,1,361,0,2133,ng,A2T2EFKEXL11M9,*NF,Devoicing,98,Place,0
34666,0.95,1,376,0,3462,n,A2T2EFKEXL11M9,*NF,Devoicing,100,Place,1
34667,0.95,1,334,0,2119,b,A2T2EFKEXL11M9,*DF,Devoicing,101,Voicing,1
34669,0.95,1,304,0,2542,d,A2T2EFKEXL11M9,*DF,Devoicing,103,Voicing,0
34671,0.95,1,298,0,1962,d,A2T2EFKEXL11M9,*DF,Devoicing,105,Voicing,0
34672,0.95,1,403,0,1646,ng,A2T2EFKEXL11M9,*NF,Devoicing,106,Place,1
34673,0.95,1,301,0,1485,d,A2T2EFKEXL11M9,*DF,Devoicing,107,Voicing,1
34674,0.95,1,400,0,1316,n,A2T2EFKEXL11M9,*NF,Devoicing,108,Place,0
34675,0.95,1,325,0,1763,b,A2T2EFKEXL11M9,*DF,Devoicing,109,Voicing,1
34677,0.95,1,307,0,1494,d,A2T2EFKEXL11M9,*DF,Devoicing,111,Voicing,1
34678,0.95,1,391,0,1484,ng,A2T2EFKEXL11M9,*NF,Devoicing,112,Place,1
34679,0.95,1,316,0,3194,b,A2T2EFKEXL11M9,*DF,Devoicing,113,Voicing,0
34680,0.95,1,388,0,2228,n,A2T2EFKEXL11M9,*NF,Devoicing,114,Place,0
34682,0.95,1,367,0,1600,ng,A2T2EFKEXL11M9,*NF,Devoicing,116,Place,1
34683,0.95,1,319,0,1335,b,A2T2EFKEXL11M9,*DF,Devoicing,117,Voicing,0
34684,0.95,1,382,0,2212,n,A2T2EFKEXL11M9,*NF,Devoicing,118,Place,0
35019,1.0,0,289,1,33673,d,A2TT0LIJAMXB9Q,*DF,PlaceAssimilation,69,Voicing,0
35020,1.0,0,379,1,6329,ng,A2TT0LIJAMXB9Q,*NF,PlaceAssimilation,70,Place,1
35021,1.0,0,316,1,29700,b,A2TT0LIJAMXB9Q,*DF,PlaceAssimilation,71,Voicing,1
35023,1.0,0,295,1,21606,d,A2TT0LIJAMXB9Q,*DF,PlaceAssimilation,73,Voicing,0
35024,1.0,0,358,1,14801,n,A2TT0LIJAMXB9Q,*NF,PlaceAssimilation,74,Place,0
35026,1.0,0,373,1,6726,ng,A2TT0LIJAMXB9Q,*NF,PlaceAssimilation,76,Place,1
35027,1.0,0,331,1,7038,b,A2TT0LIJAMXB9Q,*DF,PlaceAssimilation,77,Voicing,0
35028,1.0,0,352,1,6064,n,A2TT0LIJAMXB9Q,*NF,PlaceAssimilation,78,Place,1
35030,1.0,0,400,1,16220,n,A2TT0LIJAMXB9Q,*NF,PlaceAssimilation,80,Place,1
35031,1.0,0,337,1,21950,b,A2TT0LIJAMXB9Q,*DF,PlaceAssimilation,81,Voicing,0
35032,1.0,0,367,1,10368,ng,A2TT0LIJAMXB9Q,*NF,PlaceAssimilation,82,Place,0
35033,1.0,1,310,1,11259,d,A2TT0LIJAMXB9Q,*DF,PlaceAssimilation,83,Voicing,1
